Date,PG,MSFT,F,GE
1995-10-13,8.693952560424805,3.4586520195007324,4.923694133758545,3.859403133392334
1995-10-16,8.599156379699707,3.478703260421753,4.788002967834473,3.851747989654541
1995-10-17,8.6668701171875,3.6541407108306885,4.768618106842041,3.920665979385376
1995-10-18,8.829924583435059,3.834592819213867,4.671695709228516,3.9359796047210693
1995-10-19,8.981931686401367,3.8797056674957275,4.671695709228516,3.997239589691162
1995-10-20,8.954286575317383,3.829580783843994,4.652310848236084,3.9589524269104004
1995-10-23,8.940474510192871,3.8646676540374756,4.594156265258789,3.890035629272461
1995-10-24,9.258289337158203,3.9097812175750732,4.594156265258789,3.859403133392334
1995-10-25,9.133927345275879,3.844618558883667,4.555387496948242,3.859403133392334
1995-10-26,9.051020622253418,3.9298298358917236,4.516617298126221,3.8287742137908936
1995-10-27,9.009566307067871,4.010031700134277,4.613540172576904,3.813459873199463
1995-10-30,8.981931686401367,4.120307445526123,4.648846626281738,3.8670644760131836
1995-10-31,8.954286575317383,4.010031700134277,4.511537551879883,3.874721050262451
1995-11-01,9.106295585632324,3.9448695182800293,4.472309112548828,3.813459873199463
1995-11-02,9.216836929321289,4.010031700134277,4.521346569061279,3.890035629272461
1995-11-03,9.203020095825195,3.9899818897247314,4.491925239562988,3.844087839126587
1995-11-06,9.064841270446777,3.9047675132751465,4.511537551879883,3.851747989654541
1995-11-07,8.954286575317383,3.7293291091918945,4.511537551879883,3.890035629272461
1995-11-08,9.120111465454102,3.8195559978485107,4.452693939208984,3.9742681980133057
1995-11-09,9.216836929321289,3.969932794570923,4.4134650230407715,3.981926441192627
1995-11-10,9.175382614135742,3.884718656539917,4.472309112548828,4.020212173461914
1995-11-13,9.327386856079102,3.8621628284454346,4.472309112548828,4.020212173461914
1995-11-14,9.216836929321289,3.769430637359619,4.511537551879883,4.012556076049805
1995-11-15,9.603750228881836,3.769430637359619,4.5703840255737305,4.043186187744141
1995-11-16,9.714301109313965,3.6040172576904297,4.5703840255737305,4.142733573913574
1995-11-17,9.838663101196289,3.503765821456909,4.491925239562988,4.104445457458496
1995-11-20,9.700482368469238,3.4486281871795654,4.550770282745361,4.073816776275635
1995-11-21,9.562298774719238,3.5288283824920654,4.5703840255737305,4.12741756439209
1995-11-22,9.424118041992188,3.503765821456909,4.5703840255737305,4.058499336242676
1995-11-24,9.562298774719238,3.5288283824920654,4.550770282745361,4.043186187744141
1995-11-27,9.700482368469238,3.4987525939941406,4.531155586242676,4.004897117614746
1995-11-28,9.424118041992188,3.6691782474517822,4.491925239562988,4.104445457458496
1995-11-29,9.507025718688965,3.5990049839019775,4.531155586242676,4.142733573913574
1995-11-30,9.562298774719238,3.4937407970428467,4.433077812194824,4.112103462219238
1995-12-01,9.368844985961914,3.4586520195007324,4.531155586242676,4.203993797302246
1995-12-04,9.341203689575195,3.5238146781921387,4.688077449798584,4.257596969604492
1995-12-05,9.589933395385742,3.4486281871795654,4.589999198913574,4.280569076538086
1995-12-06,9.728119850158691,3.634091377258301,4.531155586242676,4.372462272644043
1995-12-07,9.728119850158691,3.629077911376953,4.491925239562988,4.341831684112549
1995-12-08,9.631387710571289,3.7894794940948486,4.491925239562988,4.311201095581055
1995-12-11,9.576118469238281,3.7343428134918213,4.511537551879883,4.334173679351807
1995-12-12,9.507025718688965,3.6641666889190674,4.452693939208984,4.4107489585876465
1995-12-13,9.562298774719238,3.6792051792144775,4.491925239562988,4.4107489585876465
1995-12-14,9.520842552185059,3.558903694152832,4.452693939208984,4.372462272644043
1995-12-15,9.507025718688965,3.54386568069458,4.433077812194824,4.433722019195557
1995-12-18,9.272112846374512,3.4887282848358154,4.433077812194824,4.449036598205566
1995-12-19,9.299751281738281,3.644116163253784,4.491925239562988,4.4107489585876465
1995-12-20,9.133927345275879,3.4937407970428467,4.5703840255737305,4.288228988647461
1995-12-21,9.106295585632324,3.6090290546417236,4.6292338371276855,4.318857192993164
1995-12-22,9.175382614135742,3.629077911376953,4.648846626281738,4.387775897979736
1995-12-26,9.230656623840332,3.619053840637207,4.648846626281738,4.418407917022705
1995-12-27,9.189203262329102,3.5639162063598633,4.550770282745361,4.577693462371826
1995-12-28,9.203020095825195,3.503765821456909,4.531155586242676,4.537818908691406
1995-12-29,9.175382614135742,3.518803358078003,4.531155586242676,4.593643665313721
1996-01-02,9.189203262329102,3.5990049839019775,4.609616279602051,4.689345836639404
1996-01-03,9.465571403503418,3.483715772628784,4.688077449798584,4.697320461273193
1996-01-04,9.617571830749512,3.503765821456909,4.648846626281738,4.641495704650879
1996-01-05,9.659029006958008,3.4636647701263428,4.531155586242676,4.649468898773193
1996-01-08,9.700482368469238,3.4586520195007324,4.531155586242676,4.681367874145508
1996-01-09,9.686665534973145,3.215543270111084,4.433077812194824,4.636507034301758
1996-01-10,9.562298774719238,3.3032636642456055,4.3153862953186035,4.489968776702881
1996-01-11,9.410293579101562,3.4736897945404053,4.433077812194824,4.497944355010986
1996-01-12,9.437933921813965,3.438603162765503,4.354616641998291,4.481993198394775
1996-01-15,9.465571403503418,3.308276414871216,4.354616641998291,4.481993198394775
1996-01-16,9.811023712158203,3.4636647701263428,4.354616641998291,4.52186918258667
1996-01-17,9.70970344543457,3.4035141468048096,4.354616641998291,4.553770065307617
1996-01-18,9.695636749267578,3.513789415359497,4.295770645141602,4.625543594360352
1996-01-19,9.780071258544922,3.6842174530029297,4.354616641998291,4.737194061279297
1996-01-22,9.723780632019043,3.6892313957214355,4.531155586242676,4.721243381500244
1996-01-23,9.695636749267578,3.5889790058135986,4.609616279602051,4.657444000244141
1996-01-24,9.93486213684082,3.659153461456299,4.648846626281738,4.705296516418457
1996-01-25,9.653419494628906,3.5839648246765137,4.609616279602051,4.769094944000244
1996-01-26,9.794142723083496,3.629077911376953,4.589999198913574,4.816943645477295
1996-01-29,9.611207008361816,3.624066114425659,4.605881690979004,4.777070999145508
1996-01-30,9.554913520812988,3.6416096687316895,4.685296058654785,4.816943645477295
1996-01-31,9.456413269042969,3.709280014038086,4.685296058654785,4.896694660186768
1996-02-01,9.442339897155762,3.7744429111480713,4.844117164611816,4.912647247314453
1996-02-02,9.386052131652832,3.7293291091918945,4.744851589202881,4.920620918273926
1996-02-05,9.428264617919922,3.8947434425354004,4.744851589202881,4.984423637390137
1996-02-06,9.315692901611328,3.869680881500244,4.724998474121094,5.048221111297607
1996-02-07,9.428264617919922,3.884718656539917,4.744851589202881,5.000372886657715
1996-02-08,9.68156623840332,3.964918375015259,4.685296058654785,5.072149753570557
1996-02-09,9.87857437133789,4.015047073364258,4.804412364959717,5.064172267913818
1996-02-12,9.751925468444824,3.9899818897247314,4.844117164611816,5.080123424530029
1996-02-13,9.864506721496582,3.9949936866760254,4.903677940368652,5.088099479675293
1996-02-14,9.653419494628906,3.959906578063965,4.923529148101807,5.02429723739624
1996-02-15,9.70970344543457,3.9498822689056396,4.804412364959717,4.976447105407715
1996-02-16,9.695636749267578,3.9248178005218506,4.8639702796936035,4.944547653198242
1996-02-20,9.49863052368164,3.919806480407715,4.764705657958984,4.912647247314453
1996-02-21,9.41419506072998,4.0050201416015625,4.844117164611816,4.968472003936768
1996-02-22,9.329764366149902,4.110281944274902,4.923529148101807,5.080123424530029
1996-02-23,9.386052131652832,4.150382995605469,4.8242645263671875,5.088099479675293
1996-02-26,9.400127410888672,4.035094738006592,4.8639702796936035,5.00834846496582
1996-02-27,9.34383487701416,4.015047073364258,4.963234901428223,4.960498332977295
1996-02-28,9.245332717895508,4.015047073364258,5.002938747406006,4.856820583343506
1996-02-29,9.231261253356934,3.95740008354187,4.963234901428223,4.816943645477295
1996-03-01,9.52677059173584,3.829580783843994,5.002938747406006,4.904669761657715
1996-03-04,9.639351844787598,3.85965633392334,5.082350730895996,5.1612701416015625
1996-03-05,9.85042667388916,3.934844732284546,5.141910076141357,5.186122894287109
1996-03-06,9.737853050231934,3.8897311687469482,5.102206230163574,5.1612701416015625
1996-03-07,9.85042667388916,3.9022631645202637,5.141910076141357,5.1612701416015625
1996-03-08,9.597132682800293,3.8145430088043213,4.963234901428223,4.954157829284668
1996-03-11,9.68156623840332,3.869680881500244,5.141910076141357,5.070141792297363
1996-03-12,9.639351844787598,3.8396053314208984,5.1617655754089355,4.970726490020752
1996-03-13,9.512700080871582,4.045119762420654,5.20147180557251,4.945872783660889
1996-03-14,9.470486640930176,3.9949936866760254,5.241176128387451,4.9790120124816895
1996-03-15,9.357911109924316,4.105269908905029,5.1617655754089355,5.0204315185546875
1996-03-18,9.611207008361816,4.220558166503906,5.380145072937012,5.1612701416015625
1996-03-19,9.597132682800293,4.285720348358154,5.34044075012207,5.1115617752075195
1996-03-20,9.794142723083496,4.195495128631592,5.400000095367432,5.119845867156982
1996-03-21,9.808211326599121,4.040106773376465,5.380145072937012,5.128133773803711
1996-03-22,9.892646789550781,4.055144786834717,5.34044075012207,5.194408416748047
1996-03-25,9.765998840332031,4.0050201416015625,5.400000095367432,5.235832214355469
1996-03-26,9.836359024047852,4.120307445526123,5.34044075012207,5.235832214355469
1996-03-27,9.653419494628906,4.110281944274902,5.34044075012207,5.227548122406006
1996-03-28,9.653419494628906,4.1002583503723145,5.439706325531006,5.186122894287109
1996-03-29,9.540846824645996,4.135345458984375,5.459560871124268,5.1612701416015625
1996-04-01,9.723780632019043,4.120307445526123,5.558822154998779,5.260684490203857
1996-04-02,9.70970344543457,4.195495128631592,5.618382453918457,5.268967628479004
1996-04-03,9.765998840332031,4.190482139587402,5.558822154998779,5.31867790222168
1996-04-04,9.808211326599121,4.185471057891846,5.598527908325195,5.326962471008301
1996-04-08,9.52677059173584,4.1604084968566895,5.598527908325195,5.277254581451416
1996-04-09,9.34383487701416,4.075194358825684,5.598527908325195,5.194408416748047
1996-04-10,9.118678092956543,4.075194358825684,5.479409694671631,5.078424453735352
1996-04-11,9.245332717895508,4.055144786834717,5.36029052734375,5.012148380279541
1996-04-12,9.371978759765625,4.055144786834717,5.439706325531006,5.0949931144714355
1996-04-15,9.484554290771484,4.151008605957031,5.519118309020996,5.186122894287109
1996-04-16,9.611207008361816,4.220558166503906,5.618382453918457,5.152986526489258
1996-04-17,9.637019157409668,4.248128414154053,5.816909313201904,5.186122894287109
1996-04-18,9.694380760192871,4.37093448638916,5.6977949142456055,5.25239896774292
1996-04-19,9.608329772949219,4.401009559631348,5.658088684082031,5.244113445281982
1996-04-22,9.766082763671875,4.521310806274414,5.6977949142456055,5.268967628479004
1996-04-23,9.751744270324707,4.516298770904541,5.737500190734863,5.260684490203857
