Date,^GSPC,^IXIC,^GDAXI,^FTSE
2009-07-07,881.030029296875,1746.1700439453125,4598.18994140625,4187.0
2009-07-08,879.5599975585938,1747.1700439453125,4572.64990234375,4140.2001953125
2009-07-09,882.6799926757812,1752.550048828125,4630.06982421875,4158.7001953125
2009-07-10,879.1300048828125,1756.030029296875,4576.31005859375,4127.2001953125
2009-07-13,901.0499877929688,1793.2099609375,4722.33984375,4202.10009765625
2009-07-14,905.8400268554688,1799.72998046875,4781.68994140625,4237.7001953125
2009-07-15,932.6799926757812,1862.9000244140625,4928.43994140625,4346.5
2009-07-16,940.739990234375,1885.030029296875,4957.18994140625,4361.7998046875
2009-07-17,940.3800048828125,1886.6099853515625,4978.39990234375,4388.7998046875
2009-07-20,951.1300048828125,1909.2900390625,5030.14990234375,4443.60009765625
2009-07-21,954.5800170898438,1916.199951171875,5093.97021484375,4481.2001953125
2009-07-22,954.0700073242188,1926.3800048828125,5121.56005859375,4493.7001953125
2009-07-23,976.2899780273438,1973.5999755859375,5247.27978515625,4559.7998046875
2009-07-24,979.260009765625,1965.9599609375,5229.35986328125,4576.60009765625
2009-07-27,982.1799926757812,1967.8900146484375,5251.5498046875,4586.10009765625
2009-07-28,979.6199951171875,1975.510009765625,5174.740234375,4528.7998046875
2009-07-29,975.1500244140625,1967.760009765625,5270.31982421875,4547.5
2009-07-30,986.75,1984.300048828125,5360.66015625,4631.60009765625
2009-07-31,987.47998046875,1978.5,5332.14013671875,4608.39990234375
2009-08-03,1002.6300048828125,2008.6099853515625,5426.85009765625,4682.5
2009-08-04,1005.6500244140625,2011.31005859375,5417.02001953125,4671.39990234375
2009-08-05,1002.719970703125,1993.050048828125,5353.009765625,4647.10009765625
2009-08-06,997.0800170898438,1973.1600341796875,5369.97998046875,4690.5
2009-08-07,1010.47998046875,2000.25,5458.9599609375,4731.60009765625
2009-08-10,1007.0999755859375,1992.239990234375,5418.1201171875,4722.2001953125
2009-08-11,994.3499755859375,1969.72998046875,5285.81005859375,4671.2998046875
2009-08-12,1005.8099975585938,1998.719970703125,5350.08984375,4716.7998046875
2009-08-13,1012.72998046875,2009.3499755859375,5401.10986328125,4755.5
2009-08-14,1004.0900268554688,1985.52001953125,5309.10986328125,4714.0
2009-08-17,979.72998046875,1930.8399658203125,5201.60986328125,4645.0
2009-08-18,989.6699829101562,1955.9200439453125,5250.740234375,4685.7998046875
2009-08-19,996.4600219726562,1969.239990234375,5231.97998046875,4689.7001953125
2009-08-20,1007.3699951171875,1989.219970703125,5311.06005859375,4756.60009765625
2009-08-21,1026.1300048828125,2020.9000244140625,5462.740234375,4850.89990234375
2009-08-24,1025.5699462890625,2017.97998046875,5519.75,4896.2001953125
2009-08-25,1028.0,2024.22998046875,5557.08984375,4916.7998046875
